AK 2017 5 9 8 123458
AK 2017 5 9 0 123458
AK 2017 5 0 0 123458
AK 2017 1 13 14 123458
AK 2017 1 13 0 123458
AK 2017 1 0 0 123458
AK 2017 0 0 0 246916
AK 2016 9 19 20 123458
AK 2016 9 19 0 123458
AK 2016 9 0 0 123458
AK 2016 8 1 11 123458
AK 2016 8 1 0 123458
AK 2016 8 0 0 123458
AK 2016 5 27 2 123458
AK 2016 5 27 0 123458
AK 2016 5 0 0 123458
AK 2016 0 0 0 370374
AK 0 0 0 0 617290
AL 2017 8 1 10 123457
AL 2017 8 1 0 123457
AL 2017 8 0 0 123457
AL 2017 5 9 8 246916
AL 2017 5 9 0 246916
AL 2017 5 0 0 246916
AL 2017 1 13 14 246916
AL 2017 1 13 0 246916
AL 2017 1 0 0 246916
AL 2017 0 0 0 617289
AL 2016 9 19 20 246916
AL 2016 9 19 0 246916
AL 2016 9 0 0 246916
AL 2016 8 1 12 123459
AL 2016 8 1 0 123459
AL 2016 8 0 0 123459
AL 2016 5 27 2 246916
AL 2016 5 27 0 246916
AL 2016 5 0 0 246916
AL 2016 0 0 0 617291
AL 0 0 0 0 1234580
CA 2017 5 9 8 245912
CA 2017 5 9 0 245912
CA 2017 5 0 0 245912
CA 2017 1 13 14 248912
CA 2017 1 13 0 248912
CA 2017 1 0 0 248912
CA 2017 0 0 0 494824
CA 2016 9 19 20 247912
CA 2016 9 19 0 247912
CA 2016 9 0 0 247912
CA 2016 5 27 2 256912
CA 2016 5 27 0 256912
CA 2016 5 0 0 256912
CA 2016 2 1 9 246912
CA 2016 2 1 0 246912
CA 2016 2 0 0 246912
CA 2016 0 0 0 751736
CA 0 0 0 0 1246560
OR 2017 5 9 8 123456
OR 2017 5 9 0 123456
OR 2017 5 0 0 123456
OR 2017 1 13 14 123456
OR 2017 1 13 0 123456
OR 2017 1 0 0 123456
OR 2017 0 0 0 246912
OR 2016 9 19 20 123456
OR 2016 9 19 0 123456
OR 2016 9 0 0 123456
OR 2016 5 27 2 123456
OR 2016 5 27 0 123456
OR 2016 5 0 0 123456
OR 2016 2 1 9 123456
OR 2016 2 1 0 123456
OR 2016 2 0 0 123456
OR 2016 0 0 0 370368
OR 0 0 0 0 617280
